제목,축약 내용
암호화폐 전문가 그리피스 측 “검찰 구형 부당…형량·벌금액 낮춰야”,북한의 제재 회피를 도운 혐의로 최종 선고 공판을 앞두고 있는 미국의 암호화폐 전문가 버질 그리피스 씨의 변호인이 검찰의 구형을 반박하고 나섰습니다. 다음 주 선고 공판에서 재판부가 어떤 판결을 내릴지...
한국포인트거래소 암호화폐 '지펙스'…탈중앙화 거래소 '유니스왑'에 상장,한국포인트거래소가 운영중인 블록체인 금융 플랫폼 지펙스(GPEX)가 이더리움 기반 탈중앙화 거래소인 유니스왑에 정식으로 상장했다고 7일 밝혔다.지펙스 플랫폼 암호화폐인 ‘GPX’는 유니스왑에 지난 6일 오후 2시...
"카카오, 日 암호화폐 거래소 인수…‘글로벌 카카오’ 김범수 첫 행보",카카오가 일본 암호화폐 거래소를 인수했다. 김범수 카카오 창업자가 ‘글로벌 카카오’를 실현하겠다며 이사회 의장직을 내려놓은 지 약 한 달 만이다. 카카오는 4일 일본 자회사 카카오픽코마가 지난 3월 31일 기준 일본...
"美 재무부, 러 온라인 암시장·암호화폐거래소 제재","미국 재무부는 5일(현지시간) 러시아 소재 다크넷(온라인 암시장) 사이트 하이드라(Hydra)와 암호화폐 거래소 가란텍스(Garantex)를 제재 대상에 추가한다고 밝혔다. 재닛 옐런 미 재무장관은 ""범죄자들에게 다크넷에서든..."
"[코인뉴스] 비트코인, 美 러시아 암호화폐 제재 움직임에 급락","미국 재무부가 러시아 암호화폐 시장 규제 움직임에 본격적으로 나서면서 시세에도 악영향을 미치고 있다. 6일 로이터 통신 등 주요 외신에 따르면 미 재무부는 5일(현지시간) 미 법무부, 연방수사국(FBI) 등과..."
"카카오, 일본 암호화폐 거래소 인수… '비욘드 코리아' 탄력","카카오가 일본 암호화폐 거래소를 인수하면서 블록체인 사업 확장에 박차를 가하고 있다. 김범수 창업주가 의장직에서 물러난 이후 추진해온 '비욘드 코리아'의 일환이다. 카카오 픽코마는 5일 ""카카오공동체의 '비욘드..."
"미 재무장관 첫 암호화폐 연설 발췌문 ""새 규제보다는 기존 금융업 규칙 적용...","미 재무장관 첫 암호화폐 연설 발췌문 ""새 규제보다는 기존 금융업 규칙 적용 희망"" 재닛 옐런 미국 재무장관이 한국시간으로 오늘 23시 30분 워싱턴DC 소재 아메리칸대학교(American University)에서 첫 암호화폐..."
"재닛 옐런 美 재무장관 ""암호화폐 위험 줄이기 위해 적절한 규제 필요""",AP와 블룸버그 통신 등에 따르면 재닛 옐런 미 재무장관은 7일(현지시간) 워싱턴DC에 있는 아메리칸대 강연에서 폭발적으로 시장 규모가 확장하고 있는 암호화폐에 대한 강화된 제도적 규제 필요성을 언급했다. 그는 이날...
"카카오, 日 암호화폐 거래소 인수…블록체인 사업 강화",카카오가 일본 암호화폐 거래소 ‘사쿠라 익스체인지 비트코인’을 인수한다. 블록체인과 해외 사업을 강화하기 위해서다. 4일 정보기술(IT)업계에 따르면 카카오의 일본 자회사 카카오픽코마가 최근 일본 암호화폐...
"""암호화폐거래소도 증권처럼""…美 SEC, 규제 감독 방안 검토",미국 증권거래위원회(SEC)가 암호화폐거래소를 기존 증권거래소처럼 정식 거래소로 등록해 규제하는 방안을 모색하고 있다. SEC는 아울러 미 상품선물거래위원회(CFTC)와 협업해 암호화폐거래소 규제의 틀을 만들...
억소리 나네? '조'단위 부자들 넘치는 암호화폐 세계…'톱10' 한국인까지,미국의 경제매체 포브스는 5일(현지시간) '2022년 세계에서 가장 부유한 암호화폐 및 블록체인 억만장자'(The Richest Crypto And Blockchain Billionaires In The World 2022)를 선정해 발표했다. 이번 리스트의 상위는...
"AI·양자암호로 메인프레임 불씨 살리는 IBM, 한국 금융시장 정조준","실시간 결제, 암호화폐와 같은 대체 결제 방식은 기존의 사기 탐지 기술의 한계를 뛰어넘고 있다. IBM z16의 새로운 기능은 대출 승인이나 정산 전 노출 위험이 높은 거래, 거래 판별, 소매를 위한 제휴 학습 등..."
"인도네시아 정부, 비트코인 등 암호화폐에 세금 부과 결정","인도네시아 정부가 암호화폐에 세금을 부과하기로 했다고 로이터 통신과 CNBC 등이 최근 보도했다. 인도네시아는 암호화폐를 결제 수단으로 사용하는 것을 금지하지만, 상품으로서의 거래는 허용하고 있다. 외신..."
다니엘 리시 리히텐슈타인 총리 “암호화폐 환영…블록체인 강국”,"2020년에는 블록체인법(The Blockchain Act)을 통과시킨 후 전 세계 블록체인 플랫폼, 암호화폐 발행 기업에 ‘러브콜’을 보내고 있다. ‘40대 젊은 총리’로 올해부터 업무를 시작한 다니엘 리시 리히텐슈타인 총리는..."
"""北, 암호화폐 거래 해킹이 주요 수익원…작년 4800억 훔쳐""","전문가패널은 ""암호화폐 자산에 대한 사이버공격은 여전히 북한의 중요한 수익원""이라며 금융기관과 가상화폐 기업 등을 지속적으로 저격하고 있다고 평가했다. 다만 이번 보고서에 언급된 북한의 해킹 수익 규모는..."
"암호화폐 끌어안는 美·英…SEC ""거래플랫폼 등록 검토중""",겐슬러 위원장은 SEC 직원들에게 암호화폐 거래 플랫폼을 등록해 고객들의 자산이 보호받을 수 있게끔 하는 방법을 강구해보도록 지시했다면서 이를 위해서는 관리권한 등을 다른 사업들과는 분리해야할 수도 있다고...
"""암호화폐 투자, 타이밍 찾지 말고 꾸준한 매수가 답""",가상자산(암호화폐) 투자에 있어 달러비용평균법(DCA) 전략이 시장 동향에 따라 자금 투입 시기를 결정하는 마켓 타이밍 전략보다 유효하다는 분석이 제기됐다. DCA란 특정 자산을 일정 기간 정기적으로 매입해 평균 매입...
[오늘의 코인] 금리인상 공포에 하락하는 암호화폐 시장,암호화폐 시장이 하락하고 있다. 사진|연합뉴스 라엘 브레이너드 연방준비제도 부의장이 0.5% 금리인상을 시사하는 발언을 해 암호화폐 시장이 하락하고 있다. 6일 국내 암호화폐 거래소 빗썸에 따르면 오전 9시59분...
"유엔 제재위 ”北, 7차례 사이버 공격으로 암호화폐 4800억원 훔쳐“",북한이 지난해에도 글로벌 가상화폐 거래소에 대한 사이버 공격을 통해 거액의 암호화폐를 챙긴 것으로 드러났다. 1일(현지시간) 공개된 유엔 안전보장이사회 산하 대북제재위원회 전문가패널 보고서는 매년...
앤젤파트너스 '암호화폐 평가 및 컨설팅 사업' 추진,"[사진=엔젤파트너스] 앤젤파트너스는 한국블록체인기업진흥협회와 '국내외에서 발행된 암호화폐의 평가 및 컨설팅 사업' 공동 추진 계약을 체결하고, 앤젤파트너스의 정찬 회장이 '가상자산기업 평가위원회' 부위원장으로..."
美 '빅스텝·양적긴축' 시사에 출렁이는 암호화폐 시장,"미국 연방준비제도(Fed)가 인플레이션 대응을 위해 ‘초강도 긴축’을 예고하면서 암호화폐 시장이 크게 출렁였다. 6일 오후 6시 32분 기준 국내 비트코인 가격은 전일 대비 1.44% 하락한 5,361만 7,000원에 거래됐다...."
"베리, 미국 암호화폐 거래소 비트렉스 상장",베리 프로젝트를 하고 있는 베리재단은 글로벌 거래소 비트렉스(BITTREX)에 베리토큰(BERRY Token)을 상장한다고 7일 밝혔다. 업체에 따르면 비트렉스(BITTREX)는 2014년 2월 28일 설립된 미국의 가상자산 거래소이며...
'암호화폐'로 진화했다는 '도토리'…'싸이클럽' '싸이도토리'는 뭐지?,기사내용 요약2일 싸이월드 정식 개장과 함께 공식 암호화폐 '도토리' 출시 예고 '싸이클럽'(CYC)과 '싸이도토리'(DOTR) 등 기존 발행 코인 투자자 혼란 지난 1년여간 수차례 서비스 출시를 연기해온 싸이월드가 오늘 오후...
북한 지난해 암호화폐 4억 달러 ‘해킹 절도’,북한이 지난해 최소 7차례 가상자산(암호화폐) 거래소 및 투자회사들을 상대로 사이버 공격을 가해 4억 달러(약 4880억원) 상당을 훔치는 등 국제사회의 대북제재를 회피한 것으로 나타났다. 유엔 안전보장이사회 산하...
"옐런 ""러 제재 계속할 것…제재회피 위한 암호화폐 사용 모니터링""",정선영 특파원 = 재닛 옐런 미 재무장관이 러시아가 금융 제재를 피하기 위해 암호화폐를 사용하는 시도를 하는 것을 모니터링하고 있다고 말했다. 재닛 옐런 장관은 6일(현지시간) 미국 하원 금융서비스위원회 증언에서...
"[점심 브리핑] 美, 러시아 암호화폐 거래소·다크넷 제재","국내 주요 암호화폐 종목은 하락세다. 7일 오후 12시 5분 빗썸 기준 국내 비트코인(BTC) 가격은 전일 대비 1.60% 하락한 5,350만 원을 기록했다. 이더리움(ETH)은 1.75% 하락한 393만 원이다. 바이낸스코인(BNB)은 0...."
"암호화폐(KCT) 멤버십 프로젝트 커넥트, 미스터리박스 민팅 이벤트 개최",암호화폐를 기반으로 한 온·오프라인 통합 멤버십 플랫폼 구축 프로젝트 ‘커넥트(Konnect)’가 실물-NFT 교환 이벤트를 실시한다고 7일(한국시간)밝혔다. 가상과 현실을 잇는다는 프로젝트의 컨셉에 맞게 진행되는...
"오전 암호화폐 시세, 비트코인 5300만원·이더리움 390만원대…다른 코인 혼조...",7일 오전 암호화폐(코인) 시장에서 각 거래소 거래대금 10위 안에 든 코인들이 대체로 가격이 엇갈린 혼조세를 보였다. 이날 오전 11시 20분 암호화폐 대장주 비트코인은 업비트에서 0.56% 오르고...
NFT에 암호화폐까지…대기업도 ‘블록체인’,"기술개발을 넘어 최근 다양한 분야에서 활용되고 있는 NFT(대체불가토큰)를 선보이는가 하면, 자체 암호화폐 발행까지 나서는 등 관련 사업을 본격화하고 있다. 블록체인 기반 사업이 미래 새 먹을거리로 주목받으면서..."
[중앙 칼럼] 군맹무상<群盲撫象>의 암호화폐,"현재 암호화폐(또는 가상화폐)를 대하는 세계 각국이, 그리고 각 개인들이 바로 이런 모습이지 않을까 싶다. 한편에선 부귀영화를 가져다 준(또는 가져다 줄) 복덩이로 보는가 하면, 다른 한쪽에서는 폭망하는, 절대..."
"美 재무장관, 첫 암호화폐 연설서 ""기존 금융시스템과 동일한 규칙 적용 원해...","이날 23시 30분(한국시간) 미국 재무장관 재닛 옐런이 워싱턴DC 소재 아메리칸대학교(American University)에서 암호화폐에 초점을 맞춘 첫 연설을 진행한다. 7일(현지시간) 코인데스크에 따르면, 옐런은 해당 연설에서..."
"[가상화폐 시세] 질리카 코인 하락세, 앞으로 전망은?","질리카(Zilliqa)는 네트워크 샤딩(sharding) 기술을 사용하여 거래 처리 속도를 획기적으로 개선한 암호화폐다. 프랙티컬 비잔틴 장애 허용(PBFT, Practical Byzantine Fault Tolerance)이라는 합의 알고리즘을 사용한다...."
오름세 보이는 암호화폐,비트코인과 이더리움 등 주요 암호화폐가 오름세를 보이고 있는 4일 오후 서울 서초구 빗썸 고객지원센터 전광판에 암호화폐 시세가 나타나고 있다. 2022.04.04. jhope@newsis.com 공감언론 뉴시스가 독자 여러분의...
'액시인피니티' 암호화폐 해킹 피해 만회 위해 바이낸스 등으로부터 1.5억 달...,액시 인피니티의 개발사인 스카이마비스는 6일(현지시간) 세계 최대 암호화폐 거래소 바이낸스가 주도한 투자 라운드를 통해 1억5000만 달러(약 1830억원)를 조달했다고 밝혔다. 이번 투자 라운드에는...
"허석 순천시장 후보, “블록체인 방식 지역화폐 도입”","순천사랑상품권-암호화폐-지역공동체은행 결합 ▪오하근 예비후보, “IBK기업은행 본점 순천유치” 받아 무형 노동까지 거래가 가능한 지역화폐가 나온다면 우리생활상이 어떻게 바뀔까? 아직 실행해보지 않아서 선뜻..."
"""北, 작년 4억달러 암호화폐 훔쳐""… 자금세탁도 감행","북한이 지난해 외환을 벌어들이기 위해 가상자산(암호화폐) 거래소와 투자회사들에 대해 사이버 공격을 가한 것으로 드러났다. 지난 3월 31일(현지시간) 유엔 안전보장이사회 산하 대북제재위원회는 ""전문가패널은..."
"오후 암호화폐 시세, 질리카↑...다른 코인 여전히 하락세",6일 오후 암호화폐(코인) 시장에서 질리카 가격 상승이 두드러졌다. 이밖에 각 거래소 거래대금 10위 안에 든 코인들도 여전히 하락세였다. 이날 오후 4시 50분 질리카는 업비트 전일대비 7.05% 오른 167원...
"미 재무부 장관 ""러시아, 경제 제재 회피에 암호화폐 사용 안해""","재닛 옐런 미 재무부 장관 (사진=옐런 장관 트위터) 재닛 옐런 미국 재무부 장관이 ""러시아가 경제 제재를 회피하기 위하 암호화폐를 사용하지 않았다""고 6일(현지시간) 말했다. 옐런 장관은 이날 미국 하원 금융위원회..."
"美·獨, 러시아 최대 다크넷 시장과 암호화폐거래소 연이어 제재",하이드라 등의 다크넷 시장은 암호화폐 사이버 범죄자가 불법적으로 취득한 비트코인을 일정 수수료를 받고 현금화해주는 세탁 서비스도 제공한 것으로 알려졌다. 2021년에 이루어진 다크넷 시장 관련 암호화폐...
"연준 내달 금리 0.5%인상 예고, 미 증시-암호화폐 하락","연준의 공격적인 긴축 소식에 뉴욕증시와 암호화폐 시장은 하락세를 보였다. 6일 다우존스30산업평균지수는 전일 대비 144.67p(-0.42%) 내린 3만4496.51로,  S&P500은 43.97p(-0.97%) 내린 4481.5로 하락했다. 나스닥 지수는..."
